sigma,norm_zh0,q_logit,q_prob,correct
0.15,15.999987602233887,-8.3125,0.00024536947603337467,False
0.15,15.99998950958252,-8.9375,0.00013135180051904172,False
0.15,15.999984741210938,-9.0625,0.00011591933434829116,False
0.15,15.99998664855957,-8.125,0.0002959570847451687,False
0.15,15.99998950958252,-11.0,1.67014204635052e-05,False
0.15,15.999990463256836,-9.5,7.484622619813308e-05,False
0.15,15.999988555908203,-9.125,0.00010889690747717395,False
0.15,15.99998950958252,-8.375,0.00023050670279189944,False
0.15,15.999987602233887,-8.4375,0.00021654405281879008,False
0.15,15.999987602233887,-8.3125,0.00024536947603337467,False
0.15,15.999983787536621,-9.75,5.829126530443318e-05,False
0.15,15.999983787536621,-7.5625,0.0005193048855289817,False
0.15,15.99998950958252,-10.8125,2.014569145103451e-05,False
0.15,15.99998950958252,-9.3125,9.028038039105013e-05,False
0.15,15.99998950958252,-9.1875,0.00010229986219201237,False
0.15,15.999988555908203,-8.3125,0.00024536947603337467,False
0.15,15.999987602233887,-8.0625,0.0003150386910419911,False
0.15,15.999983787536621,-6.1875,0.0020507434383034706,False
0.15,15.999984741210938,-10.6875,2.2827996872365475e-05,False
0.15,15.999984741210938,-8.5,0.00020342698553577065,False
0.15,15.999990463256836,-10.75,2.1444948288262822e-05,False
0.15,15.999990463256836,-9.8125,5.475977377500385e-05,False
0.15,15.999988555908203,-9.3125,9.028038039105013e-05,False
0.15,15.999990463256836,-8.125,0.0002959570847451687,False
0.15,15.999987602233887,-8.8125,0.00014883848780300468,False
0.15,15.999985694885254,-4.90625,0.007345826830714941,False
0.15,15.999984741210938,-9.6875,6.205049430718645e-05,False
0.15,15.99998664855957,-9.6875,6.205049430718645e-05,False
0.15,15.99998950958252,-10.625,2.4300241420860402e-05,False
0.15,15.999990463256836,-9.6875,6.205049430718645e-05,False
0.15,15.999988555908203,-9.125,0.00010889690747717395,False
0.15,15.999987602233887,-8.3125,0.00024536947603337467,False
0.15,15.99998950958252,-8.6875,0.0001686527393758297,False
0.15,15.999987602233887,-9.625,6.60521473037079e-05,False
0.15,15.999984741210938,-9.5,7.484622619813308e-05,False
0.15,15.999983787536621,-8.6875,0.0001686527393758297,False
0.15,15.99998950958252,-11.0,1.67014204635052e-05,False
0.15,15.999988555908203,-9.5,7.484622619813308e-05,False
0.15,15.999988555908203,-10.625,2.4300241420860402e-05,False
0.15,15.999988555908203,-7.53125,0.0005357805639505386,False
0.15,15.999988555908203,-8.625,0.00017952796770259738,False
0.15,15.99998664855957,-9.5,7.484622619813308e-05,False
0.15,15.999991416931152,-8.8125,0.00014883848780300468,False
0.15,15.999995231628418,6.6875,0.9987550973892212,True
0.15,15.99998664855957,-2.21875,0.09807931631803513,False
